2010 Graph Act  ;2010ga  
Aqua Attack     ;aqattack
Antarctic Advent;antarcti
Artillery Duel  ;artyduel
Amazing Snake   ;amsnake 
Alcazar         ;alcazar 
Bump 'n' Jump   ;bumpjump
Buck Rogers     ;buckroge
Beamrider       ;beamride
Burgertime      ;burgertm
Burger Time     ;burger  
Boulder Dash    ;bouldash
BC's Quest      ;bcquest 
Choplifter      ;choplift
Cosmic Avenger  ;cosmicav
Cosmic Crisis   ;crisis  
Centipede       ;centiped
Congo Bongo     ;congbong
Carnival        ;carnival
Dacman          ;dacman  
Defender        ;defender
Destructor      ;destruct
Dig Dug         ;digdug  
Donkey Kong     ;donkkong
Donkey Kong Jr. ;dkongjr 
Dragonfire      ;dragfire
Decathlon       ;decath  
Evolution       ;evoluton
Frantic Freddy  ;freddy  
Frenzy          ;frenzy  
Frogger         ;frogger 
Frogger II      ;frogger2
Frantic         ;frantic 
Fathom          ;fathom  
Flipper Slipper ;flipper 
Fantasy         ;fantasy 
Galaxian        ;galaxian
Gorf            ;gorf    
Gyruss          ;gyruss  
Grog's Revenge  ;bcquest2
Heist           ;heist   
H.E.R.O.        ;hero    
Illusions       ;illusion
Jeepers Creepers;jeepers 
Joust           ;joust   
Jungle Hunt     ;junghunt
Jumpman Junior  ;jumpman 
James Bond 007  ;jb007   
Kevtris         ;kevtris 
Keystone Kapers ;keykaper
Ladybug         ;ladybug 
Looping         ;looping 
Monkey Academy  ;macademy
Miner 2049      ;mine2049
Meteor Shower   ;meteorsh
Mousetrap       ;moustrap
Moon Patrol     ;mpatrol 
Mr.Do!          ;mrdo    
Mr.Do! Castle   ;mrdocast
Montezuma       ;mrevenge
Mountain King   ;mounking
Moonsweeper     ;moonsw  
Motocross Racer ;motocros
Nova Blast      ;novablas
Oil's Well      ;oilswell
Omega Race      ;omegarac
Pacman          ;pacman  
Pitfall!        ;pitfall!
Pitfall II      ;pitfall2
Power Lord      ;pwrlord 
Pitstop         ;pitstop 
Pepper II       ;pepperii
Popeye          ;popeye  
Poker           ;poker   
Q*bert          ;qbert   
Qbert2          ;qbert2  
Rolloverture    ;rollo   
River Raid      ;riveraid
Roc 'n' Rope    ;rocnrope
Super CrossForce;supercf 
Space Invasion  ;spinvas 
Space Caverns(P);spcavern
Space Fury      ;spacfury
Sammy Lightfoot ;sammy   
Sewer Sam       ;sewersam
SI Collection   ;spcinv  
Sir Lancelot    ;lancelot
Sky Jaguar      ;skyjag  
Slither         ;dslither
Spy Hunter      ;spyhunt 
Spectron        ;spectron
Star Wars       ;starwars
Star Fortress   ;starfort
Steamroller     ;steamrol
Super Act Boxing;boxing  
Sector Alpha    ;secalpha
Skiing          ;skiing  
Squish'Em Sam   ;squish  
Super Cobra     ;supcobra
Super Football  ;football
Subroc          ;subroc  
Slurpy          ;slurpy  
Strike It!      ;strikeit
Space Panic     ;spcpanic
Star Trek       ;startrek
Tank Wars       ;tankwars
Terra Attack(P) ;terraatt
Tapper          ;tapper  
Tutankham       ;tutham  
Time Pilot      ;timpilot
Turbo           ;turbo   
Threshold       ;threshld
Up 'n' Down     ;upndown 
Victory         ;victory 
Venture         ;vent    
Video Hustler   ;vidhust 
Wing War        ;wingwar 
War Games       ;wargames
War Room        ;warroom 
Zaxxon          ;zaxxon  
Zenji           ;zenji   
Smooth Criminal ;smoothc 
Crazy Train     ;crazy   
Mortal Combat   ;mortal  
What Is Love    ;whatlove
Waterline       ;waterlin
Pac-Man Demo    ;pacdemo 
Controller Test ;ctrltest
